ID,ingresos,edad,provincia_codigo,bancarizado,BCRA_Peor_Situacion,Cantidad_consultas_7_dias,Compromisos_Mensual,Endeudamiento_Externo,Nivel_Socioeconomico,Deuda_normal,Deuda_30,Deuda_90,deuda_120,deuda_180,canti_moras,autonomo,Es_jubilado,relacion_dependencia,dias_atraso,Cuota,cant_cuotas,Monto_Otorgado,PRODUCTO,PROVINCIA,moroso
16,36000.00,30,B,1,4,2,11804.00,242000.00,4,237000.00,0.00,0.00,5000.00,0.00,0,F,F,OMINT SOCIEDAD ANONIMA DE SERVICIOS,53,4688.59,6,16260.00,DS_BASICO,BUENOS AIRES,0
17,50000.00,41,N,1,1,4,950.00,21000.00,4,21000.00,0.00,0.00,0.00,0.00,0,F,F,UNIVERSIDAD NACIONAL DE MISIONES                            ,53,20036.70,6,78750.00,DS_PREMIUM,MISIONES,0
18,36500.00,44,D,1,1,6,2404.00,35000.00,4,35000.00,0.00,0.00,0.00,0.00,0,F,F,DIRECCION NACIONAL DE VIALIDAD                              ,174,4437.62,15,18200.00,DS_BASICO,SAN LUIS,1
19,120000.00,49,Q,1,1,4,38641.00,796165.00,2,796165.00,0.00,0.00,0.00,0.00,0,F,F,INSTITUTO DE SEGURIDAD SOCIAL DEL NEUQUEN                   ,23,8721.57,15,40000.00,DS_BASICO,NEUQUEN,0
20,60000.00,42,B,1,2,2,30605.00,673000.00,4,617000.00,36000.00,0.00,0.00,20000.00,1,F,F,GENDARMERIA NACIONAL                                        ,143,2749.79,9,10000.00,DS_BASICO,BUENOS AIRES,1
21,42000.00,31,B,1,1,0,35691.00,596391.00,3,596391.00,0.00,0.00,0.00,0.00,0,F,F,HOSPITAL DE ALTA COMPLEJIDAD EN RED EL CRUCE DR NESTOR CARLO,0,3308.13,15,20000.00,DS_SUCURSAL_ORO,BUENOS AIRES,0
22,65000.00,58,T,1,1,0,30858.00,411000.00,5,411000.00,0.00,0.00,0.00,0.00,0,F,F,SUPERIOR GOBIERNO DE LA PCIA DE TUCUMAN                     ,143,8270.34,15,50000.00,DS_SUCURSAL_ORO,TUCUMAN,1
23,50000.00,29,A,1,5,2,13802.00,223000.00,4,106000.00,0.00,0.00,0.00,117000.00,2,F,F,POLICIA FEDERAL ARGENTINA                                   ,84,6874.49,9,25000.00,DS_BASICO,SALTA,0
24,65000.00,46,U,1,1,0,11834.00,259000.00,3,259000.00,0.00,0.00,0.00,0.00,0,F,F,MINISTERIO DE EDUCACION DE LA PROVINCIA DEL CHUBUT          ,0,7614.73,12,30000.00,DS_BASICO,CHUBUT,0
25,52000.00,40,C,1,1,1,2065.00,17096.00,3,17096.00,0.00,0.00,0.00,0.00,0,F,F,UNIVERSIDAD DE BUENOS AIRES                                 ,112,6599.43,12,26000.00,DS_BASICO,CAPITAL FEDERAL,1
26,37000.00,26,B,1,1,2,15754.00,204000.00,4,204000.00,0.00,0.00,0.00,0.00,0,F,F,MINISTERIO DE SEGURIDAD -SEGURIDAD PROVINCIAL               ,143,2731.46,6,10200.00,DS_SUCURSAL_ORO,BUENOS AIRES,1
27,84000.00,18,Q,1,1,1,35633.00,586337.00,3,586337.00,0.00,0.00,0.00,0.00,0,F,F,DCCION. ADM. DE LA SUBS. DE SALUD PCIA. DE NEUQUEN          ,23,9404.96,12,52500.00,DS_SUCURSAL_ORO,NEUQUEN,0
28,35000.00,30,Q,1,1,4,19365.00,314000.00,5,314000.00,0.00,0.00,0.00,0.00,0,F,F,CONSEJO PROVINCIAL DE EDUCACION DEL     NEUQUEN             ,143,2438.25,15,10000.00,DS_BASICO,NEUQUEN,1
29,70000.00,29,B,1,1,7,11196.00,136000.00,3,136000.00,0.00,0.00,0.00,0.00,0,F,F,OPERADORA FERROVIARIA SOCIEDAD DEL ESTADO,0,2544.34,6,10000.00,DS_PREMIUM,BUENOS AIRES,0
30,18000.00,26,N,1,1,0,1131.00,25000.00,6,25000.00,0.00,0.00,0.00,0.00,0,F,F,MUNICIPALIDAD DE ALBA POSSE                                 ,53,3152.78,15,18000.00,DS_SUCURSAL_ORO,MISIONES,0
31,36000.00,33,Q,1,1,2,12716.00,322000.00,5,322000.00,0.00,0.00,0.00,0.00,0,F,F,MINISTERIO DE DESARROLLO SOCIAL,143,3259.44,6,10000.00,DS_BASICO,NEUQUEN,1
32,30000.00,30,B,1,1,7,2353.00,53674.00,5,53674.00,0.00,0.00,0.00,0.00,0,F,F,DIRECCION GENERAL DE CULTURA Y EDUCACIONDE LA PROVINCIA DE B,0,9663.30,9,47250.00,DS_SUCURSAL_ORO,BUENOS AIRES,0
33,42500.00,33,U,1,1,8,30684.00,619000.00,4,619000.00,0.00,0.00,0.00,0.00,0,F,F,CONTADURIA GENERAL DEL EJERCITO                             ,0,3259.44,6,10000.00,DS_BASICO,CHUBUT,0
34,45000.00,26,A,1,1,4,63875.00,806000.00,4,806000.00,0.00,0.00,0.00,0.00,0,F,F,GENDARMERIA NACIONAL                                        ,23,3259.44,6,10000.00,DS_BASICO,SALTA,0
35,48000.00,39,B,1,1,4,6773.00,169000.00,4,169000.00,0.00,0.00,0.00,0.00,0,F,F,MINISTERIO DE SEGURIDAD -SEGURIDAD PROVINCIAL               ,143,9404.96,12,52500.00,DS_SUCURSAL_ORO,BUENOS AIRES,1
36,82000.00,43,S,1,5,0,10665.00,256000.00,4,223000.00,0.00,0.00,0.00,33000.00,1,F,F,CONTADURIA GENERAL DEL EJERCITO                             ,0,5052.12,6,15500.00,DS_BASICO,SANTA FE,0
37,50000.00,34,R,1,1,1,2580.00,45000.00,5,45000.00,0.00,0.00,0.00,0.00,1,F,F,GOBIERNO DE LA PROVINCIA DE RIO NEGRO                       ,84,2706.46,15,11100.00,DS_BASICO,RIO NEGRO,0
38,45000.00,53,A,1,1,1,12792.00,262092.00,5,262092.00,0.00,0.00,0.00,0.00,0,F,F,PROVINCIA DE SALTA                                          ,0,3807.36,12,15000.00,DS_BASICO,SALTA,0
39,60000.00,26,B,1,3,2,3129.00,56000.00,6,47000.00,0.00,9000.00,0.00,0.00,2,F,F,SERVICIO NACIONAL DE SANIDAD Y CALIDAD AGROALIMENTARIA SENAS,0,5499.59,9,20000.00,DS_BASICO,BUENOS AIRES,0
40,190000.00,18,B,1,1,2,177911.00,3206484.00,1,3206484.00,0.00,0.00,0.00,0.00,0,F,F,PODER JUDICIAL ADMINISTRACION DE JUSTICIA                   ,0,7239.80,9,35400.00,DS_SUCURSAL_ORO,BUENOS AIRES,0
41,45000.00,39,Q,1,1,1,24280.00,379000.00,3,379000.00,0.00,0.00,0.00,0.00,0,F,F,DCCION. ADM. DE LA SUBS. DE SALUD PCIA. DE NEUQUEN          ,143,3259.44,6,10000.00,DS_BASICO,NEUQUEN,1
42,80000.00,57,A,1,5,3,8791.00,224000.00,5,177000.00,0.00,0.00,0.00,47000.00,0,F,F,GENDARMERIA NACIONAL                                        ,84,9753.02,15,40000.00,DS_BASICO,SALTA,0
43,49000.00,29,B,1,5,7,16082.00,337851.00,4,328851.00,0.00,0.00,0.00,9000.00,0,F,F,MINISTERIO DE SEGURIDAD -SEGURIDAD PROVINCIAL               ,143,5911.20,6,20500.00,DS_BASICO,BUENOS AIRES,1
44,100000.00,30,C,1,5,2,19261.00,354000.00,4,69000.00,0.00,128000.00,0.00,157000.00,0,F,F,,0,10152.97,12,40000.00,DS_BASICO,CAPITAL FEDERAL,0
45,30000.00,38,R,1,2,0,10958.00,140654.00,4,132654.00,8000.00,0.00,0.00,0.00,0,F,F,GOBIERNO DE LA PROVINCIA DE RIO NEGRO                       ,53,4041.70,6,12400.00,DS_BASICO,RIO NEGRO,0
46,40000.00,38,C,1,5,1,758.00,25000.00,5,0.00,0.00,0.00,0.00,25000.00,1,F,F,MEDICINA INTEGRAL FITZ ROY S.A.                             ,143,4876.51,15,20000.00,DS_BASICO,CAPITAL FEDERAL,1
47,37000.00,42,R,1,4,1,8563.00,141000.00,4,134000.00,0.00,0.00,7000.00,0.00,0,F,F,DCCION. ADM. DE LA SUBS. DE SALUD PCIA. DE NEUQUEN          ,112,5334.50,6,18500.00,DS_BASICO,NEUQUEN,1
48,42000.00,38,T,1,5,0,14900.00,282000.00,5,274000.00,0.00,0.00,0.00,8000.00,0,F,F,SUPERIOR GOBIERNO DE LA PCIA DE TUCUMAN                     ,53,5330.31,12,21000.00,DS_BASICO,TUCUMAN,0
49,48000.00,50,X,1,1,8,6163.00,176000.00,4,176000.00,0.00,0.00,0.00,0.00,0,F,F,MUNICIPALIDAD DE JESUS MARIA                                ,112,5851.81,15,24000.00,DS_BASICO,CORDOBA,1
50,51000.00,25,B,1,1,3,11771.00,41195.00,4,41195.00,0.00,0.00,0.00,0.00,0,F,F,MINISTERIO DE SEGURIDAD -SEGURIDAD PROVINCIAL               ,143,9891.89,12,52500.00,DS_SUCURSAL_ORO,BUENOS AIRES,1
51,70000.00,43,U,1,1,3,22063.00,380000.00,4,380000.00,0.00,0.00,0.00,0.00,0,F,F,MINISTERIO DE SALUD,0,8533.89,15,35000.00,DS_BASICO,CHUBUT,0
52,70200.00,39,U,1,1,0,23753.00,548000.00,4,548000.00,0.00,0.00,0.00,0.00,0,F,F,MUNICIPALIDAD PUERTO MADRYN                                 ,0,10225.71,9,50000.00,DS_SUCURSAL_ORO,CHUBUT,0
53,64000.00,45,B,1,1,1,11701.00,248000.00,3,248000.00,0.00,0.00,0.00,0.00,0,F,F,UNIVERSIDAD DE BUENOS AIRES                                 ,143,10737.00,9,52500.00,DS_SUCURSAL_ORO,BUENOS AIRES,1
54,47500.00,27,N,1,1,3,17928.00,320000.00,3,320000.00,0.00,0.00,0.00,0.00,0,F,F,PREFECTURA NAVAL ARGENTINA                                  ,0,5036.21,9,20000.00,DS_BASICO,MISIONES,0
55,90000.00,38,B,1,1,9,35303.00,582436.00,3,582436.00,0.00,0.00,0.00,0.00,0,F,F,MINISTERIO DE SALUD PCIA DE BS AS                           ,0,9404.96,12,52500.00,DS_SUCURSAL_ORO,BUENOS AIRES,0
56,33000.00,31,U,1,1,2,17533.00,250000.00,3,250000.00,0.00,0.00,0.00,0.00,0,F,F,MUNICIPALIDAD PUERTO MADRYN                                 ,143,2749.79,9,10000.00,DS_BASICO,CHUBUT,1
57,36000.00,41,X,1,1,0,9598.00,115000.00,5,115000.00,0.00,0.00,0.00,0.00,0,F,F,MUNICIPALIDAD DE PASCANAS                                   ,0,10737.00,9,52500.00,DS_SUCURSAL_ORO,CORDOBA,0
58,52000.00,45,B,1,1,1,17281.00,187000.00,3,187000.00,0.00,0.00,0.00,0.00,0,F,F,UNIVERSIDAD NACIONAL DE R-O NEGRO,112,13618.65,6,52500.00,DS_SUCURSAL_ORO,RIO NEGRO,1
59,930000.00,60,B,1,1,2,14879.00,297000.00,2,297000.00,0.00,0.00,0.00,0.00,0,F,F,INSTITUTO DE SEGURIDAD SOCIAL DEL NEUQUEN                   ,0,4612.40,15,25200.00,DS_SUCURSAL_ORO,NEUQUEN,0
60,54000.00,30,R,1,1,3,8680.00,55000.00,4,55000.00,0.00,0.00,0.00,0.00,0,F,F,GOBIERNO DE LA PROVINCIA DE RIO NEGRO                       ,117,13618.65,6,52500.00,DS_SUCURSAL_ORO,RIO NEGRO,1
61,28000.00,39,B,1,1,0,9810.00,57818.00,5,57818.00,0.00,0.00,0.00,0.00,0,F,F,DIRECCION GENERAL DE CULTURA Y EDUCACIONDE LA PROVINCIA DE B,117,3678.25,15,21000.00,DS_SUCURSAL_ORO,BUENOS AIRES,1
62,60000.00,31,U,1,1,1,24498.00,329000.00,4,329000.00,0.00,0.00,0.00,0.00,0,F,F,CONTADURIA GENERAL DEL EJERCITO                             ,0,4962.20,15,30000.00,DS_SUCURSAL_ORO,CHUBUT,0
63,18129.00,62,M,1,1,3,5157.00,114000.00,7,114000.00,0.00,0.00,0.00,0.00,0,F,V,,43,4392.76,15,24000.00,DS_SUCURSAL_ORO,MENDOZA,0
64,65000.00,30,E,1,1,11,39517.00,738000.00,3,738000.00,0.00,0.00,0.00,0.00,0,F,F,DIRECCION PROVINCIAL DE VIALIDAD DE ENTRE RIOS              ,148,8683.85,15,52500.00,DS_SUCURSAL_ORO,ENTRE RIOS,1
65,100000.00,65,F,1,1,1,24050.00,264747.00,6,264747.00,0.00,0.00,0.00,0.00,0,F,V,,133,10152.97,12,40000.00,DS_BASICO,LA RIOJA,1
66,68800.00,55,V,1,2,3,23328.00,444000.00,6,426000.00,18000.00,0.00,0.00,0.00,0,F,F,ESTADO MAYOR GENERAL DE LA ARMADA                           ,28,7270.97,12,34400.00,DS_BASICO,TIERRA DEL FUEGO,0
67,48900.00,24,B,1,1,2,8597.00,54023.00,6,54023.00,0.00,0.00,0.00,0.00,0,F,F,MINISTERIO DE SEGURIDAD -SEGURIDAD PROVINCIAL               ,148,8985.43,15,51300.00,DS_SUCURSAL_ORO,BUENOS AIRES,1
68,60000.00,34,A,1,5,0,12200.00,273000.00,5,250000.00,0.00,0.00,0.00,23000.00,0,F,F,PROVINCIA DE SALTA                                          ,0,2251.50,10,10000.00,DS_BASICO,SALTA,0
69,21000.00,68,B,1,1,0,833.00,10759.00,7,10759.00,0.00,0.00,0.00,0.00,0,F,V,,133,4612.40,15,25200.00,DS_SUCURSAL_ORO,BUENOS AIRES,1
70,49600.00,52,U,1,1,2,11366.00,108330.00,6,108330.00,0.00,0.00,0.00,0.00,0,F,F,,0,5172.00,12,26400.00,DS_SUCURSAL_ORO,CHUBUT,0
71,70000.00,42,X,1,1,5,30931.00,373000.00,3,373000.00,0.00,0.00,0.00,0.00,0,F,F,EMPRESA PROVINCIAL DE ENERGIA DE   CORDOBA                  ,84,6399.02,9,30000.00,DS_PREMIUM,CORDOBA,0
72,18000.00,60,B,1,1,1,6362.00,140649.00,7,140649.00,0.00,0.00,0.00,0.00,0,F,V,,102,3056.63,15,16700.00,DS_SUCURSAL_ORO,BUENOS AIRES,1
73,43000.00,34,Y,1,1,5,1247.00,19000.00,4,19000.00,0.00,0.00,0.00,0.00,0,F,F,POLICIA FEDERAL ARGENTINA                                   ,148,8683.85,15,52500.00,DS_SUCURSAL_ORO,JUJUY,1
74,45000.00,68,D,1,1,1,13296.00,156000.00,6,156000.00,0.00,0.00,0.00,0.00,0,F,V,PALUDI J  O  Y OTROS S H                                    ,133,4701.82,12,24000.00,DS_SUCURSAL_ORO,SAN LUIS,1
75,18000.00,44,N,1,1,6,181.00,4000.00,7,4000.00,0.00,0.00,0.00,0.00,0,F,V,,133,4356.68,15,18800.00,DS_SUCURSAL_ORO,MISIONES,1
76,90000.00,18,Z,1,1,8,9200.00,92000.00,4,92000.00,0.00,0.00,0.00,0.00,0,F,F,"HOSPITAL DE ALTA COMPLEJIDAD EL CALAFATE, SAMIC.",148,11895.10,15,74500.00,DS_PREMIUM,SANTA CRUZ,1
77,145000.00,52,U,1,1,1,44061.00,899000.00,2,899000.00,0.00,0.00,0.00,0.00,0,F,F,PODER JUDICIAL SUPERIOR TRIBUNAL DE JUSTICIA DEL CHUBUT     ,0,15105.84,10,80000.00,DS_PREMIUM,CHUBUT,0
78,55000.00,31,D,1,1,9,2298.00,29000.00,3,29000.00,0.00,0.00,0.00,0.00,0,F,F,AVEX SA                                                     ,117,8683.83,12,50000.00,DS_PREMIUM,SAN LUIS,1
79,52000.00,25,B,1,1,1,18851.00,331000.00,4,331000.00,0.00,0.00,0.00,0.00,0,F,F,POLICIA FEDERAL ARGENTINA                                   ,117,5669.02,15,26000.00,DS_BASICO,BUENOS AIRES,1
80,24000.00,62,R,1,1,0,1221.00,9000.00,6,9000.00,0.00,0.00,0.00,0.00,0,F,V,,0,2925.91,15,12000.00,DS_BASICO,RIO NEGRO,0
81,54000.00,25,B,1,1,0,2061.00,20610.00,5,20610.00,0.00,0.00,0.00,0.00,0,F,F,MINISTERIO DE SEGURIDAD -SEGURIDAD PROVINCIAL               ,117,9195.62,15,52500.00,DS_SUCURSAL_ORO,BUENOS AIRES,1
82,52000.00,31,B,1,1,1,2398.00,23977.00,4,23977.00,0.00,0.00,0.00,0.00,0,F,F,MINISTERIO DE SEGURIDAD -SEGURIDAD PROVINCIAL               ,89,8683.85,15,52500.00,DS_SUCURSAL_ORO,BUENOS AIRES,0
83,70000.00,33,B,1,1,2,14164.00,276000.00,3,276000.00,0.00,0.00,0.00,0.00,0,F,F,OPERADORA FERROVIARIA SOCIEDAD DEL ESTADO,89,8270.34,15,50000.00,DS_SUCURSAL_ORO,BUENOS AIRES,0
84,45000.00,27,C,1,1,2,3093.00,38000.00,4,38000.00,0.00,0.00,0.00,0.00,0,F,F,INSTITUTO NACIONAL DE ASOCIATIVISMO Y ECONOMIA SOCIAL       ,0,2410.11,6,9000.00,DS_SUCURSAL_ORO,CAPITAL FEDERAL,0
85,50000.00,18,Z,1,1,7,12686.00,303000.00,5,303000.00,0.00,0.00,0.00,0.00,0,F,F,CONTADURIA GENERAL DEL EJERCITO                             ,58,5524.72,14,25000.00,DS_BASICO,CHUBUT,0
86,750000.00,18,B,1,1,3,13228.00,316000.00,5,316000.00,0.00,0.00,0.00,0.00,0,F,F,GENDARMERIA NACIONAL                                        ,0,6078.68,12,35000.00,DS_PREMIUM,BUENOS AIRES,0
87,49000.00,26,B,1,1,0,10865.00,197995.00,4,197995.00,0.00,0.00,0.00,0.00,0,F,F,MINISTERIO DE SEGURIDAD -SEGURIDAD PROVINCIAL               ,117,10974.32,9,51450.00,DS_SUCURSAL_ORO,BUENOS AIRES,1
88,53000.00,42,B,1,1,8,38113.00,565408.00,4,565408.00,0.00,0.00,0.00,0.00,0,F,F,COLOMBO Y MAGLIANO SA AGRICOLA GANADERA Y COMERCIAL,58,8683.85,15,52500.00,DS_SUCURSAL_ORO,BUENOS AIRES,0
89,80000.00,26,R,1,1,0,36760.00,112000.00,3,112000.00,0.00,0.00,0.00,0.00,0,F,F,BANCO PATAGONIA SOCIEDAD ANONIMA                            ,0,9404.96,12,52500.00,DS_SUCURSAL_ORO,RIO NEGRO,0
90,70000.00,29,Q,0,-1,2,0.00,0.00,4,0.00,0.00,0.00,0.00,0.00,0,F,F,DCCION. ADM. DE LA SUBS. DE SALUD PCIA. DE NEUQUEN          ,117,5499.50,9,20000.00,DS_PLATA,NEUQUEN,1
91,32000.00,22,B,0,-1,6,0.00,0.00,5,0.00,0.00,0.00,0.00,0.00,0,F,F,,0,4876.42,15,20000.00,DS_PLATA,BUENOS AIRES,0
92,49263.00,24,U,1,1,9,1900.00,19000.00,5,19000.00,0.00,0.00,0.00,0.00,0,F,F,CONTADURIA GENERAL DEL EJERCITO                             ,89,6005.42,15,24630.00,DS_BASICO,CHUBUT,0
93,20000.00,71,S,1,1,8,3614.00,81000.00,7,81000.00,0.00,0.00,0.00,0.00,0,F,V,,102,4612.40,15,25200.00,DS_SUCURSAL_ORO,SANTA FE,1
94,49000.00,29,B,1,1,1,15389.00,265000.00,4,265000.00,0.00,0.00,0.00,0.00,0,F,F,POLICIA FEDERAL ARGENTINA                                   ,28,9002.95,15,51400.00,DS_SUCURSAL_ORO,BUENOS AIRES,0
95,60000.00,24,N,1,2,0,19531.00,460000.00,6,421000.00,0.00,0.00,0.00,39000.00,0,F,F,GENDARMERIA NACIONAL                                        ,0,2690.28,15,13500.00,DS_BASICO,SALTA,0
96,50000.00,32,B,1,1,2,20700.00,255150.00,4,255150.00,0.00,0.00,0.00,0.00,0,F,F,CONTADURIA GENERAL DEL EJERCITO                             ,89,4295.38,15,19700.00,DS_BASICO,BUENOS AIRES,0
97,35500.00,45,B,1,5,1,12602.00,286189.00,4,260604.00,0.00,0.00,0.00,25585.00,0,F,F,"INSTITUTO NACIONAL DE REHABILITACION PSICOFISICA DEL SUR ""DR",28,1992.80,15,10000.00,DS_BASICO,BUENOS AIRES,0
98,58000.00,30,Q,1,1,2,10178.00,225000.00,4,225000.00,0.00,0.00,0.00,0.00,0,F,F,DCCION. ADM. DE LA SUBS. DE SALUD PCIA. DE NEUQUEN          ,28,4360.79,15,20000.00,DS_BASICO,NEUQUEN,0
99,70000.00,34,B,1,1,7,58048.00,633288.00,3,633288.00,0.00,0.00,0.00,0.00,0,F,F,DIRECCION GENERAL DE CULTURA Y EDUCACIONDE LA PROVINCIA DE B,117,7162.11,15,43300.00,DS_SUCURSAL_ORO,BUENOS AIRES,1
100,68400.00,33,W,1,1,1,23463.00,221000.00,3,221000.00,0.00,0.00,0.00,0.00,0,F,F,PREFECTURA NAVAL ARGENTINA                                  ,0,7999.25,15,50100.00,DS_PREMIUM,FORMOSA,0
101,65000.00,40,N,1,1,3,6767.00,49000.00,3,49000.00,0.00,0.00,0.00,0.00,0,F,F,POLICIA FEDERAL ARGENTINA                                   ,28,9734.89,6,32000.00,DS_BASICO,MISIONES,0
102,80000.00,32,B,1,1,0,15699.00,166000.00,3,166000.00,0.00,0.00,0.00,0.00,0,F,F,EMPRESA ARGENTINA DE NAVEGACION AEREA SOCIEDAD DEL ESTADO,0,5374.26,12,30000.00,DS_SUCURSAL_ORO,BUENOS AIRES,0
103,24000.00,58,U,0,-1,1,0.00,0.00,7,0.00,0.00,0.00,0.00,0.00,0,F,V,,0,4667.01,6,17000.00,DS_SUCURSAL_PLATA,CHUBUT,0
104,20000.00,18,B,0,1,7,869.00,19211.00,7,19211.00,0.00,0.00,0.00,0.00,0,F,F,CONTADURIA GENERAL DEL EJERCITO                             ,117,3503.09,15,20000.00,DS_SUCURSAL_PLATA,BUENOS AIRES,1
105,20000.00,22,E,1,1,3,5728.00,84000.00,5,84000.00,0.00,0.00,0.00,0.00,0,F,F,CONTADURIA GENERAL DEL EJERCITO                             ,117,2438.25,15,10000.00,DS_BASICO,ENTRE RIOS,1
106,65000.00,53,B,1,1,1,2932.00,50000.00,6,50000.00,0.00,0.00,0.00,0.00,0,F,F,COMISION NACIONAL DE ENERGIA ATOMICA                        ,28,13894.12,12,80000.00,DS_PREMIUM,BUENOS AIRES,0
107,200000.00,41,U,1,1,2,19947.00,374000.00,2,374000.00,0.00,0.00,0.00,0.00,0,F,F,PAN AMERICAN ENERGY LLC SUCURSAL ARGENTINA                  ,0,9725.89,12,56000.00,DS_PREMIUM,CHUBUT,0
108,12924.00,51,M,0,-1,4,0.00,0.00,7,0.00,0.00,0.00,0.00,0.00,0,F,V,,102,2562.44,15,14000.00,DS_SUCURSAL_PLATA,MENDOZA,1
109,45000.00,31,N,1,5,5,14121.00,312000.00,4,289000.00,0.00,0.00,0.00,23000.00,0,F,F,MINISTERIO DE COORDINACION GENERAL DE GABINETE,89,4734.59,12,22400.00,DS_BASICO,MISIONES,0
110,124000.00,35,N,1,1,3,54763.00,1037000.00,3,1037000.00,0.00,0.00,0.00,0.00,0,F,F,PODER JUDICIAL DE LA PROVINCIA DE MISIONES                  ,0,12157.36,12,70000.00,DS_PREMIUM,MISIONES,0
111,20000.00,43,Y,1,1,1,1582.00,14000.00,5,14000.00,0.00,0.00,0.00,0.00,0,F,F,CONTADURIA DE LA PROVINCIA                                  ,89,3768.34,12,20000.00,DS_SUCURSAL_ORO,JUJUY,0
112,36000.00,28,Y,1,1,2,1341.00,12000.00,6,12000.00,0.00,0.00,0.00,0.00,0,F,F,CONTADURIA DE LA PROVINCIA                                  ,0,1884.17,12,10000.00,DS_SUCURSAL_ORO,JUJUY,0
113,30000.00,76,N,1,1,2,6478.00,102000.00,6,102000.00,0.00,0.00,0.00,0.00,0,F,V,,13,4936.91,12,25200.00,DS_SUCURSAL_ORO,MISIONES,0
114,34500.00,51,N,1,1,1,10758.00,74000.00,4,74000.00,0.00,0.00,0.00,0.00,0,F,F,MINISTERIO DE COORDINACION GENERAL DE GABINETE,0,3891.04,6,15000.00,DS_SUCURSAL_ORO,MISIONES,0
115,51000.00,37,B,1,1,0,6844.00,152000.00,5,152000.00,0.00,0.00,0.00,0.00,0,F,F,,58,9404.96,12,52500.00,DS_SUCURSAL_ORO,BUENOS AIRES,0
